"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Find user by id success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Find user by id","",""
"","0","Course service create course success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course service create course","",""
"","0","Review service find by id success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Review service find by id","",""
"","0","Save user avatar failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Save user avatar","",""
"","0","Create school success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Create school","",""
"","0","School repository find all success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","School repository find all","",""
"","1","Course service delete course success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course service delete course","",""
"","0","Lesson repository find all success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Lesson repository find all","",""
"","0","Review repository find course reviews success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Review repository find course reviews","",""
"","0","User repository delete user success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","User repository delete user","",""
"","0","User repository find by credentials failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","User repository find by credentials","",""
"","0","Course repository update course status success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course repository update course status","",""
"","0","User repository find user info failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","User repository find user info","",""
"","0","Course repository find student courses failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course repository find student courses","",""
"","0","Save media file success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Save media file","",""
"","0","Review repository find by id success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Review repository find by id","",""
"","0","Auth service sign up failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Auth service sign up","",""
"","0","Lesson service create video lesson success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Lesson service create video lesson","",""
"","1","Delete user success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Delete user","",""
"","0","Course repository find by id success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course repository find by id","",""
"","0","Find all users success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Find all users","",""
"","0","Create school failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Create school","",""
"","0","School repository find user schools failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","School repository find user schools","",""
"","1","Delete user failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Delete user","",""
"","0","Course repository update course success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course repository update course","",""
"","0","Course repository create course success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course repository create course","",""
"","0","Auth service payload failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Auth service payload","",""
"","0","Review service find user reviews failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Review service find user reviews","",""
"","0","User repository find by email failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","User repository find by email","",""
"","0","Lesson service update theory lesson success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Lesson service update theory lesson","",""
"","0","Review repository delete review failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Review repository delete review","",""
"","0","Delete school success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Delete school","",""
"","0","Stat repository update lesson stat failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Stat repository update lesson stat","",""
"","0","Course repository delete course success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course repository delete course","",""
"","0","User repository find by email success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","User repository find by email","",""
"","0","Auth service verify token success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Auth service verify token","",""
"","0","Auth service sign up success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Auth service sign up","",""
"","0","Course service update course success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course service update course","",""
"","0","School repository delete school success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","School repository delete school","",""
"","0","Lesson service create theory lesson failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Lesson service create theory lesson","",""
"","0","Course repository delete course failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course repository delete course","",""
"","0","Lesson service update theory lesson failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Lesson service update theory lesson","",""
"","0","Save test question success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Save test question","",""
"","0","Lesson repository delete lesson failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Lesson repository delete lesson","",""
"","0","School repository find school teachers failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","School repository find school teachers","",""
"","0","Lesson service update practice lesson success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Lesson service update practice lesson","",""
"","0","School repository delete school failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","School repository delete school","",""
"","0","School repository find school courses success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","School repository find school courses","",""
"","0","Review service find course reviews success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Review service find course reviews","",""
